0.4345950619;"asdasd;asd";0.6630580444;dasdasd;2014-09-16
0.2407382876;asda;0.2738861744;123123;2014-09-17
0.1453270228;34ghhj234;0.0161343426;dasdasd;2014-09-16
0.9801471261;fsddf3224;0.637266296;sdfr43gf;2014-09-17
0.2503317334;"1234;;;;dwsad";0.8935280461;dasdasd;2014-09-16
0.7193839932;fsd''sdfsdf;0.6885937243;dasdasd;2014-09-17
0.2198128118;"123gdfg;;gdf;gdf;3423";0.7943016724;dasdasd;2014-09-16
0.3155953633;"324234”gfdg;”";0.3281231085;dasdasd;2014-09-17
0.0397317284; dsfssdf sdf dsf sdf sd ;0.9293320123;dasdasd;2014-09-16
0.1841444131;Sdf 34234 dssfsdf ;0.9396286951;dasdasd;2014-09-17
0.93325378;@#$GDFG;0.3082702346;gdfg;2014-09-16
0.2126623457;)*(%!@#@#$%$&^%^&;0.1796637457;dasdasd;2014-09-17
0.3898381721;+{:LKHGFH;0.6590126883;dasdasd;2014-09-16
0.6662618723;2014-06-09;0.5280830469;dasdasd;2014-09-17
0.1989389383;2012-13-89;0.495259109;dasdasd;2014-09-16
0.0639662002;1894-06-01;0.6987444172;dfg;2014-09-17
0.9090904407;“2036-12-12”;0.71222746;dasdasd;2014-09-16
0.6681733034;234;0.428512889;dasdasd;2014-09-17
324;123,45;0.9114067629;dfg;2014-09-16
0.4121395447;123.9;0.1020656321;dasdasd;2014-09-17
0.0285952426;“234.9”;0.0947747617;dasdasd;2014-09-16
0.1603614115;654654654fdsfsf;0.1103457012;dasdasd;2014-09-17
0.0399036366;123123;0.1660318328;dasdasd;2014-09-16
0.5668877922;123123;0.0038652024;dasdasd;2014-09-17
0.7379439762;123123;0.7785190046;dasdasd;2014-09-16
